               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.040666,             0.01363,             0.00346,             0.81115,             0.75816,             0.79955,             0.36605,            0.042549,            0.010665,          0.00097342,            0.007723,            0.007723,            0.007723
                  48,            0.040032,            0.014306,           0.0038029,             0.87009,             0.77049,             0.86158,             0.40816,            0.040194,             0.01038,            0.001088,           0.0076735,           0.0076735,           0.0076735
                  49,            0.039909,            0.013992,            0.003467,             0.85479,             0.69656,             0.79242,             0.38669,            0.040572,            0.011071,           0.0026609,            0.007624,            0.007624,            0.007624
                  50,            0.039271,            0.014025,           0.0032182,               0.823,             0.73901,             0.81322,              0.3844,            0.041628,            0.010306,              0.0031,           0.0075745,           0.0075745,           0.0075745
                  51,            0.040053,            0.013915,           0.0033627,             0.84682,             0.65909,             0.77626,             0.36661,            0.042507,            0.011008,           0.0031274,            0.007525,            0.007525,            0.007525
                  52,            0.039153,            0.014743,            0.003439,             0.78699,             0.77855,             0.84672,             0.38881,            0.041148,            0.010774,            0.002929,           0.0074755,           0.0074755,           0.0074755
                  53,            0.039322,            0.013946,           0.0029755,             0.93602,             0.72319,             0.82882,              0.3804,            0.041578,            0.010583,           0.0014082,            0.007426,            0.007426,            0.007426
                  54,            0.038477,              0.0135,           0.0033494,              0.8499,             0.72497,             0.81149,             0.39854,            0.039855,            0.010392,           0.0025642,           0.0073765,           0.0073765,           0.0073765
                  55,            0.039453,            0.013731,           0.0034642,             0.79733,             0.73942,             0.80427,             0.35536,            0.043477,            0.010894,             0.00251,            0.007327,            0.007327,            0.007327
                  56,            0.038991,            0.013293,           0.0023711,             0.86194,             0.70455,             0.80699,             0.39454,            0.041693,            0.010274,           0.0011271,           0.0072775,           0.0072775,           0.0072775
                  57,            0.039268,            0.013706,           0.0030873,             0.90188,             0.74825,             0.83662,             0.38702,            0.041329,            0.010374,           0.0017125,            0.007228,            0.007228,            0.007228
                  58,            0.038757,            0.013528,           0.0035935,             0.84399,             0.66251,             0.78779,             0.36471,            0.041509,            0.010969,           0.0035721,           0.0071785,           0.0071785,           0.0071785
                  59,            0.038071,            0.013644,           0.0030251,             0.77925,             0.76761,             0.81066,             0.39325,             0.04085,            0.010316,           0.0017544,            0.007129,            0.007129,            0.007129
                  60,            0.038025,            0.013511,            0.002661,             0.85756,             0.76107,             0.84215,             0.39807,            0.039851,             0.01028,           0.0035806,           0.0070795,           0.0070795,           0.0070795
                  61,            0.037019,            0.012695,           0.0026332,              0.8809,              0.7052,             0.82819,             0.37967,            0.041468,            0.010248,           0.0012911,             0.00703,             0.00703,             0.00703
